1958, 1, 0.004
1962, 1, 0.004
1963, 2, 0.008
1966, 3, 0.012
1968, 2, 0.008
1969, 2, 0.008
1970, 2, 0.008
1972, 2, 0.008
1973, 2, 0.008
1974, 4, 0.016
1975, 10, 0.040
1976, 7, 0.028
1977, 5, 0.020
1978, 10, 0.040
1979, 8, 0.032
1980, 7, 0.028
1981, 13, 0.051
1982, 19, 0.075
1983, 16, 0.063
1984, 11, 0.043
1985, 14, 0.055
1986, 13, 0.051
1987, 22, 0.087
1988, 16, 0.063
1989, 20, 0.079
1990, 27, 0.107
1991, 46, 0.182
1992, 36, 0.142
1993, 34, 0.134
1994, 58, 0.229
1995, 60, 0.237
1996, 64, 0.253
1997, 57, 0.225
1998, 55, 0.217
1999, 58, 0.229
2000, 81, 0.320
2001, 107, 0.423
2002, 85, 0.336
2003, 115, 0.454
2004, 173, 0.683
2005, 191, 0.755
2006, 247, 0.976
2007, 315, 1.244
2008, 463, 1.829
2009, 543, 2.145
2010, 901, 3.559
2011, 1031, 4.073
2012, 1202, 4.749
2013, 1340, 5.294
2014, 1548, 6.115
2015, 1760, 6.953
2016, 1949, 7.700
2017, 2134, 8.430
2018, 2302, 9.094
2019, 2500, 9.876
2020, 2521, 9.959
2021, 2534, 10.011
